,Player,Team,EV_xGF,EV_xGA,EV_TOI,Game_Id,xGF/60,xGA/60,xGF%
117,IVAN BARBASHEV,VGK,5.236268845852462,2.2180262752808604,77.13333333333334,181106,4.073156405589641,1.725344552941032,70.2449897778713
118,J.T. COMPHER,COL,3.6794601131696227,4.3532907709013635,117.83333333333333,211078,1.8735581905814203,2.216668567927144,45.80572914897715
119,JACCOB SLAVIN,CAR,10.12945516238687,5.713335363427173,151.51666666666668,241244,4.011224132063879,2.2624581793353666,63.93731676172871
120,JACK DRURY,CAR,1.6841071392991565,3.957514500943942,59.6,180973,1.6954098717776742,3.984075000950277,29.85147262067344
121,JACK EICHEL,VGK,4.977932611247522,2.761655810754744,99.28333333333333,181106,3.008319187592929,1.6689543257876578,64.31779495013133
122,JACK HUGHES,N.J,7.118763064849187,4.538888115435835,156.9,271451,2.7222803307262664,1.7357124724420019,61.06515759270761
123,JACK JOHNSON,COL,0.5330433435738079,1.643299693241714,40.71666666666667,90468,0.7854916237681983,2.4215631992100572,24.492616033259623
124,JACOB TROUBA,NYR,4.165547675103877,5.556409981567409,128.29999999999998,211008,1.9480347662216106,2.5984769983947356,42.84679919630636
125,JADEN SCHWARTZ,SEA,4.72734068636782,7.0764235899550805,145.78333333333333,271541,1.9456300984250774,2.9124413997757275,40.04943317828164
126,JAKE DEBRUSK,BOS,5.2744731975253645,3.748206412419674,91.31666666666666,210798,3.465614803995494,2.4627747918800558,58.4579462592432
127,JAKE MCCABE,TOR,6.786593222757798,7.006459821481253,165.33333333333334,241164,2.462876572775007,2.5426668706988416,49.20298066708557
128,JAKE MIDDLETON,MIN,3.4336365662747963,3.844617540016767,110.19999999999999,180981,1.8694935932530652,2.0932581887568604,47.17665137998751
129,JAKUB LAUKO,BOS,0.3260278310626743,0.2522530429996548,20.0,90342,0.9780834931880229,0.7567591289989644,56.378802358165814
130,JALEN CHATFIELD,CAR,3.7004916562000263,4.516340861446221,107.05,241244,2.0740728572816587,2.5313447144957797,45.035500580703705
131,JAMIE BENN,DAL,5.978894321247932,4.383623129804614,116.46666666666667,241444,3.080140176945128,2.258306134415657,57.697314860884894
132,JAMIE OLEKSIAK,SEA,5.689586576423603,8.291951076826075,164.23333333333332,271541,2.0785987086589173,3.0293306146309997,40.69356831507866
133,JANI HAKANPÄÄ,DAL,4.810813859570768,4.737197012989777,137.75,241444,2.095454312698701,2.063388898579939,50.38550881206343
134,JARED MCCANN,SEA,1.4511123842094085,2.0301702870056024,37.2,120610,2.3405038454990454,3.2744682048477456,41.683267957753976
135,JARED SPURGEON,MIN,3.7586618044879256,3.86285943817347,108.28333333333333,180981,2.0826816216956336,2.140417727785823,49.31642496052954
136,JARET ANDERSON-DOLAN,L.A,0.7561476244591171,2.0885179527103883,27.833333333333332,120733,1.6300188311693542,4.502194389076286,26.581248443674628
137,JASON ROBERTSON,DAL,5.49520833312999,3.715571212233041,122.36666666666667,241444,2.6944633613821796,1.8218545851319732,59.660621623458944
138,JEAN-GABRIEL PAGEAU,NYI,2.7510782752651703,4.506927237380294,76.66666666666666,180801,2.1530177806423074,3.527160446645448,37.904053261905446
139,JESPER BOQVIST,N.J,2.238454721868037,3.6613450162112695,56.28333333333333,180940,2.3862709501702497,3.9031217229376876,37.94119836679018
140,JESPER BRATT,N.J,7.74016316758934,5.159346792381253,137.51666666666665,271451,3.3771163984149344,2.2510784695882333,60.00354425562213
141,JESPER FAST,CAR,7.027973151998591,3.856175917899233,110.01666666666667,241244,3.8328591648530415,2.1030500385452564,64.57071753487631
142,JESPER FRODEN,SEA,0.4169448260217904,0.2436579242348669,4.15,30153,6.028117966580101,3.5227651696607256,63.11581746515573
143,JESPERI KOTKANIEMI,CAR,5.32744536263635,4.946308630984272,119.45,241244,2.6759876245975804,2.4845417987363443,51.85490489595498
144,JESSE PULJUJARVI,CAR,2.565443262457845,1.3713382108835488,59.900000000000006,180981,2.5697261393567725,1.3736275902005495,65.16600628788248
145,JIMMY VESEY,NYR,2.012137739802709,3.050393142097162,61.06666666666666,211008,1.976991229063797,2.9971111658159892,39.74568820896935
146,JOE PAVELSKI,DAL,1.8082635276950882,2.2272869579028325,39.38333333333333,90624,2.7548661446052973,3.3932429320567907,44.80834855488544
147,JOEL HANLEY,DAL,2.0022928311955175,0.6916163618443522,32.06666666666667,90495,3.746493862943795,1.294084668731636,74.3266638819434
